Timestamp,Load
01/14/2022 11:00,679
01/14/2022 12:00,680
01/14/2022 13:00,700
01/14/2022 14:00,691
01/14/2022 15:00,664
01/14/2022 16:00,635
01/14/2022 17:00,632
01/14/2022 18:00,607
01/14/2022 19:00,594
01/14/2022 20:00,575
01/14/2022 21:00,561
01/14/2022 22:00,550
01/14/2022 23:00,530
01/15/2022 00:00,518
01/15/2022 01:00,508
01/15/2022 02:00,494
01/15/2022 03:00,489
01/15/2022 04:00,486
01/15/2022 05:00,494
01/15/2022 06:00,509
01/15/2022 07:00,558
01/15/2022 08:00,613
01/15/2022 09:00,637
01/15/2022 10:00,653
01/15/2022 11:00,645
01/15/2022 12:00,649
01/15/2022 13:00,667
01/15/2022 14:00,664
01/15/2022 15:00,648
01/15/2022 16:00,622
01/15/2022 17:00,621
01/15/2022 18:00,597
01/15/2022 19:00,581
01/15/2022 20:00,568
01/15/2022 21:00,555
01/15/2022 22:00,545
01/15/2022 23:00,527
01/16/2022 00:00,522
01/16/2022 01:00,509
01/16/2022 02:00,496
01/16/2022 03:00,481
01/16/2022 04:00,486
01/16/2022 05:00,481
01/16/2022 06:00,484
01/16/2022 07:00,494
01/16/2022 08:00,524
01/16/2022 09:00,556
01/16/2022 10:00,571
01/16/2022 11:00,577
01/16/2022 12:00,574
01/16/2022 13:00,580
01/16/2022 14:00,577
01/16/2022 15:00,567
01/16/2022 16:00,563
01/16/2022 17:00,577
01/16/2022 18:00,567
01/16/2022 19:00,556
01/16/2022 20:00,550
01/16/2022 21:00,541
01/16/2022 22:00,525
01/16/2022 23:00,511
01/17/2022 00:00,501
01/17/2022 01:00,492
01/17/2022 02:00,485
01/17/2022 03:00,479
01/17/2022 04:00,480
01/17/2022 05:00,499
01/17/2022 06:00,534
01/17/2022 07:00,599
01/17/2022 08:00,672
01/17/2022 09:00,703
01/17/2022 10:00,728
01/17/2022 11:00,725
01/17/2022 12:00,720
01/17/2022 13:00,748
01/17/2022 14:00,738
01/17/2022 15:00,723
01/17/2022 16:00,695
01/17/2022 17:00,635
01/17/2022 18:00,652
01/17/2022 19:00,636
01/17/2022 20:00,622
01/17/2022 21:00,603
01/17/2022 22:00,589
01/17/2022 23:00,574
01/18/2022 00:00,558
01/18/2022 01:00,553
01/18/2022 02:00,552
01/18/2022 03:00,543
01/18/2022 04:00,547
01/18/2022 05:00,559
01/18/2022 06:00,585
01/18/2022 07:00,632
